bug_id,domain,family,root_cause
bug_041,ALU,,Inherited from audited coverage64 v4; see source map.
bug_045,ALU,,Inherited from audited coverage64 v4; see source map.
bug_047,Branch/Jump,,Inherited from audited coverage64 v4; see source map.
bug_048,ALU,,Inherited from audited coverage64 v4; see source map.
bug_049,ALU,,Inherited from audited coverage64 v4; see source map.
bug_051,LSU,,Inherited from audited coverage64 v4; see source map.
bug_052,LSU,,Inherited from audited coverage64 v4; see source map.
bug_053,ALU,,Inherited from audited coverage64 v4; see source map.
bug_054,ALU,,Inherited from audited coverage64 v4; see source map.
bug_071,ALU,,Inherited from audited coverage64 v4; see source map.
bug_072,ALU,,Inherited from audited coverage64 v4; see source map.
bug_073,ALU,,Inherited from audited coverage64 v4; see source map.
bug_074,MDU,,Inherited from audited coverage64 v4; see source map.
bug_075,ALU,,Inherited from audited coverage64 v4; see source map.
bug_076,MDU,,Inherited from audited coverage64 v4; see source map.
bug_077,ALU,,Inherited from audited coverage64 v4; see source map.
bug_078,ALU,,Inherited from audited coverage64 v4; see source map.
bug_079,ALU,,Inherited from audited coverage64 v4; see source map.
bug_080,ALU,,Inherited from audited coverage64 v4; see source map.
bug_081,ALU,,Inherited from audited coverage64 v4; see source map.
bug_103,ALU,,Inherited from audited coverage64 v4; see source map.
bug_128,ALU,,Inherited from audited coverage64 v4; see source map.
bug_129,ALU,,Inherited from audited coverage64 v4; see source map.
bug_130,ALU,,Inherited from audited coverage64 v4; see source map.
bug_132,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_133,decode,,Inherited from audited coverage64 v4; see source map.
bug_134,ALU,,Inherited from audited coverage64 v4; see source map.
bug_136,decode,,Inherited from audited coverage64 v4; see source map.
bug_141,ALU,,Inherited from audited coverage64 v4; see source map.
bug_143,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_145,ALU,,Inherited from audited coverage64 v4; see source map.
bug_146,MDU,,Inherited from audited coverage64 v4; see source map.
bug_147,decode,,Inherited from audited coverage64 v4; see source map.
bug_152,MDU,,Inherited from audited coverage64 v4; see source map.
bug_153,decode,,Inherited from audited coverage64 v4; see source map.
bug_156,interrupt,,Inherited from audited coverage64 v4; see source map.
bug_160,register-file/writeback,,Inherited from audited coverage64 v4; see source map.
bug_161,register-file/writeback,,Inherited from audited coverage64 v4; see source map.
bug_162,decode,,Inherited from audited coverage64 v4; see source map.
bug_169,LSU,,Inherited from audited coverage64 v4; see source map.
bug_170,LSU,,Inherited from audited coverage64 v4; see source map.
bug_173,LSU,,Inherited from audited coverage64 v4; see source map.
bug_176,LSU,,Inherited from audited coverage64 v4; see source map.
bug_178,register-file/writeback,,Inherited from audited coverage64 v4; see source map.
bug_179,register-file/writeback,,Inherited from audited coverage64 v4; see source map.
bug_181,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_182,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_185,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_186,RV32C/decode,,Inherited from audited coverage64 v4; see source map.
bug_193,csr_mstatus_read,mstatus_mpie_read_uses_mie,The MSTATUS MPIE readback selects MIE instead of MPIE.
bug_194,csr_mstatus_read,mstatus_mpp_read_forced_user,The MSTATUS MPP readback is forced to user mode instead of returning the stored MPP value.
bug_195,CSR,,Inherited from audited coverage64 v4; see source map.
bug_196,CSR,,Inherited from audited coverage64 v4; see source map.
bug_197,csr_mip_read,mip_software_read_uses_timer,The MIP software-pending readback selects the timer-pending state instead of the software-pending state.
bug_198,csr_mcause_read,mcause_interrupt_bit_cleared_on_read,The MCAUSE interrupt bit is cleared when the CSR is read back.
bug_205,csr_data_mux,mtvec_read_returns_mepc,The MTVEC CSR readback selects MEPC instead of MTVEC.
bug_206,csr_data_mux,mtval_read_returns_mepc,The MTVAL CSR readback selects MEPC instead of MTVAL.
bug_211,CSR,,Inherited from audited coverage64 v4; see source map.
